case,triangle_index,node_1,node_2,node_3,centroid_x,centroid_y,area,minimum_interior_angle_deg,mesh_quality_qc
stochastic_dfn,1,2389,1201,6039,-4.9747459328,-4.71024920966,0.00454182575014,40.1150177419,0.903186937265
stochastic_dfn,2,6042,1203,2387,-4.75587735039,-4.97002578031,0.00454182575014,49.8849822581,0.960693724182
stochastic_dfn,3,6319,6321,6320,-4.9162413728,-4.89348932923,0.00441093116926,46.864515209,0.958056915664
stochastic_dfn,4,2387,6320,6042,-4.81236094018,-4.94073753624,0.00418637705688,53.3446650934,0.969739795844
stochastic_dfn,5,6042,6320,6041,-4.85445105218,-4.97071175593,0.00443788370406,52.0863305061,0.979515445765
stochastic_dfn,6,6040,6319,6039,-4.97761009662,-4.82286350767,0.00402671929595,44.6165189731,0.908179735171
stochastic_dfn,7,2389,6319,2388,-4.90184789502,-4.79288928798,0.00410053906425,45.1233125424,0.925530872917
stochastic_dfn,8,2388,6320,2387,-4.82919698498,-4.88078909686,0.00429031910296,51.1433168454,0.946945460686
stochastic_dfn,9,6040,6321,6319,-4.96077405182,-4.88281194705,0.00332207495736,43.8709031188,0.881420605445
stochastic_dfn,10,1202,6321,6040,-4.9831639552,-4.94005156062,0.00302788383343,40.1150177419,0.786715415678
stochastic_dfn,11,6039,6319,2389,-4.95235602942,-4.77290647485,0.00358543261005,49.6248137736,0.97522013561
stochastic_dfn,12,6319,6320,2388,-4.8825692832,-4.85352370298,0.00380665794226,49.4141873963,0.962256290248
stochastic_dfn,13,6041,6321,1202,-4.9494918656,-4.98001718687,0.00302788383343,49.8849822581,0.932592603738
stochastic_dfn,14,6320,6321,6041,-4.90495918658,-4.9507289428,0.00319555493155,51.0831827631,0.979192004168
stochastic_dfn,15,6043,6325,1204,-4.96782622458,-4.40145387562,0.00468983524528,52.8530387372,0.981677725021
stochastic_dfn,16,6325,6349,1204,-4.92745328448,-4.3659146196,0.00414070911179,36.6859068931,0.860870094769
stochastic_dfn,17,5215,6332,6327,-4.56162317249,-4.72423702462,0.00666697448529,45.7786210122,0.952943578237
stochastic_dfn,18,488,6337,6047,-4.35805046396,-4.9558821725,0.00382756477045,49.4379211691,0.931655644505
stochastic_dfn,19,4474,6345,6323,-3.95960821024,-4.3568669357,0.00535810122948,41.1146288175,0.913002915888
stochastic_dfn,20,3278,6339,4537,-4.19220961998,-4.57459790084,0.00515162354889,42.2660723731,0.911059330955
stochastic_dfn,21,2389,2388,1798,-4.86675954368,-4.74739396057,0.00580255696846,49.3674911258,0.967252041544
stochastic_dfn,22,5215,6327,5216,-4.62041935377,-4.69623860191,0.00651403598373,54.2432076337,0.978083253942
stochastic_dfn,23,3278,4537,489,-4.1867948287,-4.62853428365,0.00556911755958,50.5327299973,0.952970442935
stochastic_dfn,24,4827,6330,4826,-4.5391444731,-4.53214361783,0.00555534783951,51.9787785277,0.98576082697
stochastic_dfn,25,2388,6329,1798,-4.8060002801,-4.76129478437,0.00633199337231,56.14128475,0.989502784464
stochastic_dfn,26,5216,6351,6329,-4.72314599171,-4.70667817661,0.00355780479134,39.5551961635,0.786700773995
stochastic_dfn,27,5216,6330,1028,-4.66439974739,-4.59201067844,0.00591729502874,56.5384668361,0.996609283329
stochastic_dfn,28,1589,6341,6334,-3.91956192644,-4.47980227617,0.00353872440737,42.1197269395,0.88150148836
stochastic_dfn,29,4824,6337,488,-4.35086120719,-4.90526166296,0.00488997744965,53.9825944211,0.989017166469
stochastic_dfn,30,5215,6356,6332,-4.55857540962,-4.77543888861,0.00375188054582,35.9575251387,0.762192569963
stochastic_dfn,31,4826,6330,6327,-4.54787074268,-4.59437567948,0.00561247680305,52.9169780609,0.988929939774
stochastic_dfn,32,2389,6328,1201,-4.94077986629,-4.66590034062,0.00507960471305,54.3435775423,0.986084630183
stochastic_dfn,33,1028,4258,5216,-4.7204788639,-4.61185132873,0.004518226201,46.9853558974,0.95343961592
stochastic_dfn,34,6323,6341,4474,-3.92024772858,-4.38890497115,0.00443079091603,41.8853954743,0.882198307926
stochastic_dfn,35,1543,6334,6323,-4.01360606059,-4.47179579428,0.00487984203744,45.0712155628,0.920205208169
stochastic_dfn,36,6340,6342,3454,-4.11180807863,-4.79664201809,0.00459471076767,42.2000021514,0.884665185755
stochastic_dfn,37,6323,6333,1543,-4.04889880628,-4.43106348782,0.00557147323166,53.0186114325,0.965717170958
stochastic_dfn,38,4825,6326,4824,-4.40187957521,-4.81586866827,0.00592409907593,50.9799430247,0.981654439624
stochastic_dfn,39,2387,6329,2388,-4.78771633321,-4.83405550566,0.00661571629416,52.6655527593,0.964420652757
stochastic_dfn,40,1798,6328,2389,-4.88330161158,-4.6830622784,0.00447984325092,54.0887562453,0.992140220145
stochastic_dfn,41,1634,6338,6324,-3.80676969171,-4.59826532531,0.00402597481866,47.0161783119,0.918122250934
stochastic_dfn,42,3453,6331,1205,-4.14941935237,-4.94116052861,0.00529003940115,48.7385738585,0.969566234929
stochastic_dfn,43,5216,6329,5215,-4.68239482241,-4.73457265382,0.00605795016936,52.8277158756,0.981032207399
stochastic_dfn,44,4826,6327,571,-4.49278349461,-4.62594333071,0.00549864919522,52.4517103816,0.9875367669
stochastic_dfn,45,1634,6344,676,-3.75509955322,-4.52213139021,0.00394019551771,46.4943333103,0.952361579105
stochastic_dfn,46,6339,6361,4537,-4.23755985009,-4.55713689341,0.0029809581119,40.7265840766,0.813949087124
stochastic_dfn,47,6324,6355,6344,-3.71946580764,-4.60930941118,0.00329194594566,41.4618027503,0.887209558858
stochastic_dfn,48,6334,6341,6323,-3.95061945623,-4.44980015328,0.00397164043157,47.4572453952,0.929205186662
stochastic_dfn,49,2482,5339,46,-3.80620240137,-4.797384471,0.00509631936242,48.4458191582,0.969612696422
stochastic_dfn,50,4259,6330,4827,-4.59305950255,-4.49906929888,0.00555963352448,54.2279082946,0.992638825011
stochastic_dfn,51,1205,6331,6048,-4.20404764448,-4.97536253326,0.00407355366417,48.9075445016,0.962378998439
stochastic_dfn,52,6327,6330,5216,-4.61109352604,-4.62691626243,0.00566242844914,52.4757914584,0.987021047014
stochastic_dfn,53,3454,6342,3453,-4.09762433637,-4.84396143327,0.00514163342025,42.4382918624,0.914238358461
stochastic_dfn,54,4475,6345,4474,-3.95349086108,-4.3042618107,0.00450119043975,44.9595339352,0.913618126891
